order,r,omega,omega_ratio,amplitude,amplitude_ratio
3,0.0,0.5374120526400513,1.0,0.0,0.0
3,0.25,0.5374135823492271,1.000002846436302,0.03248018917131465,0.003248018917131465
3,0.5,0.5374181714767545,1.0000113857452082,0.06496011062317825,0.006496011062317825
3,0.75,0.5374258200226336,1.0000256179267186,0.09743949663613974,0.009743949663613975
3,1.0,0.5374365279868644,1.0000455429808335,0.12991807949074802,0.012991807949074802
3,1.25,0.5374502953694467,1.000071160907552,0.16239559146755217,0.016239559146755216
3,1.5,0.5374671221703806,1.0001024717068752,0.194871764847101,0.0194871764847101
3,1.75,0.5374870083896662,1.0001394753788024,0.22734633190994358,0.022734633190994356
3,2.0,0.5375099540273034,1.0001821719233335,0.2598190249366288,0.02598190249366288
3,2.25,0.5375359590832923,1.0002305613404692,0.29228957620770546,0.029228957620770546
3,2.5,0.5375650235576328,1.0002846436302089,0.3247577180037229,0.03247577180037229
3,2.75,0.5375971474503248,1.0003444187925525,0.3572231826052296,0.03572231826052296
3,3.0,0.5376323307613686,1.0004098868275009,0.38968570229277477,0.03896857022927748
3,3.25,0.537670573490764,1.000481047735053,0.4221450093469075,0.04221450093469075
3,3.5,0.537711875638511,1.0005579015152093,0.45460083604817636,0.04546008360481764
3,3.75,0.5377562372046095,1.0006404481679698,0.48705291467713063,0.04870529146771306
3,4.0,0.5378036581890598,1.0007286876933346,0.5195009775143191,0.05195009775143191
3,4.25,0.5378541385918617,1.0008226200913035,0.5519447568402907,0.05519447568402906
3,4.5,0.5379076784130152,1.0009222453618767,0.5843839849355943,0.05843839849355943
3,4.75,0.5379642776525203,1.0010275635050538,0.616818394080779,0.0616818394080779
3,5.0,0.538023936310377,1.0011385745208352,0.6492477165563937,0.06492477165563937
3,5.25,0.5380866543865854,1.0012552784092208,0.6816716846429873,0.06816716846429874
3,5.5,0.5381524318811455,1.0013776751702106,0.7140900306211093,0.07140900306211093
3,5.75,0.5382212687940572,1.0015057648038048,0.7465024867713077,0.07465024867713077
3,6.0,0.5382931651253204,1.0016395473100028,0.7789087853741321,0.07789087853741321
3,6.25,0.5383681208749354,1.0017790226888053,0.8113086587101312,0.08113086587101312
3,6.5,0.5384461360429019,1.0019241909402117,0.843701839059854,0.0843701839059854
3,6.75,0.53852721062922,1.0020750520642223,0.8760880587038494,0.08760880587038494
3,7.0,0.5386113446338898,1.0022316060608372,0.9084670499226667,0.09084670499226667
3,7.25,0.5386985380569113,1.0023938529300562,0.9408385449968542,0.09408385449968541
