exp_1,exp_2,R1_re,R1_im,R2_re,R2_im
1,0,-0.0,159.29802253608625,0.0,0.0
0,1,0.0,0.0,-0.0,-159.29802253608625
2,1,-0.0,0.0010423330334431305,0.0,0.0
1,2,0.0,-0.0,-0.0,-0.0010423330334431305
3,2,-0.0,-1.7274752901087383e-7,0.0,0.0
2,3,0.0,-0.0,-0.0,1.7274752901087383e-7
