order,r,omega,omega_ratio,tilt_deg
3,0.0,159.29802253608625,1.0,0.0
3,0.038407259963252234,159.29802407365008,1.0000000096521213,0.03316436023358368
3,0.07681451992650447,159.29802868634152,1.0000000386084849,0.06632872785961395
3,0.11522177988975671,159.29803637416063,1.0000000868690908,0.09949311027055843
3,0.15362903985300894,159.2980471371074,1.0000001544339394,0.13265751485892682
3,0.19203629981626116,159.29806097518178,1.0000002413030302,0.16582194901729194
3,0.23044355977951342,159.29807788838383,1.0000003474763635,0.1989864201383109
3,0.26885081974276565,159.29809787671348,1.000000472953939,0.23215093561474587
3,0.3072580797060179,159.2981209401708,1.000000617735757,0.2653155028394855
3,0.3456653396692701,159.2981470787558,1.0000007818218177,0.2984801292055654
3,0.3840725996325223,159.29817629246838,1.0000009652121205,0.33164482210619006
3,0.42247985959577455,159.29820858130864,1.000001167906666,0.3648095889347531
3,0.46088711955902684,159.2982439452765,1.0000013899054536,0.3979744370848587
3,0.49929437952227906,159.29828238437204,1.0000016312084836,0.4311393739503422
3,0.5377016394855313,159.29832389859524,1.0000018918157563,0.46430440692529207
3,0.5761088994487835,159.29836848794605,1.0000021717272713,0.49746954340407046
3,0.6145161594120357,159.29841615242452,1.0000024709430286,0.5306347907813334
3,0.652923419375288,159.2984668920306,1.0000027894630283,0.5638001564520537
3,0.6913306793385402,159.29852070676435,1.0000031272872705,0.5969656478115403
3,0.7297379393017924,159.29857759662576,1.0000034844157553,0.6301312722554603
3,0.7681451992650447,159.29863756161478,1.0000038608484823,0.6632970371798599
3,0.8065524592282969,159.29870060173147,1.0000042565854517,0.6964629499811851
3,0.8449597191915491,159.29876671697576,1.0000046716266635,0.7296290180563028
3,0.8833669791548014,159.29883590734772,1.0000051059721178,0.7627952488025229
3,0.9217742391180537,159.29890817284735,1.0000055596218145,0.7959616496176178
3,0.9601814990813059,159.29898351347458,1.0000060325757536,0.8291282278998444
3,0.9985887590445581,159.29906192922948,1.0000065248339352,0.8622949910479651
3,1.0369960190078102,159.29914342011202,1.000007036396359,0.8954619464612691
3,1.0754032789710626,159.2992279861222,1.0000075672630253,0.9286291015395933
3,1.1138105389343147,159.29931562726,1.000008117433934,0.9617964636833424
3,1.152217798897567,159.29940634352545,1.000008686909085,0.9949640402935117
3,1.1906250588608194,159.29950013491856,1.0000092756884786,1.0281318387717076
3,1.2290323188240715,159.2995970014393,1.0000098837721145,1.0612998665201685
3,1.2674395787873238,159.2996969430877,1.000010511159993,1.0944681309417854
3,1.305846838750576,159.29979995986372,1.0000111578521138,1.1276366394401238
3,1.3442540987138283,159.29990605176738,1.0000118238484768,1.160805399419446
3,1.3826613586770804,159.3000152187987,1.0000125091490826,1.1939744182847283
3,1.4210686186403327,159.30012746095767,1.0000132137539306,1.227143703441687
3,1.4594758786035849,159.30024277824427,1.000013937663021,1.2603132622967954
3,1.4978831385668372,159.3003611706585,1.0000146808763537,1.2934831022573092
3,1.5362903985300893,159.30048263820038,1.000015443393929,1.3266532307312828
3,1.5746976584933416,159.30060718086992,1.0000162252157467,1.3598236551275946
3,1.6131049184565938,159.3007347986671,1.0000170263418067,1.392994382855965
3,1.651512178419846,159.3008654915919,1.0000178467721093,1.426165421326981
3,1.6899194383830982,159.30099925964436,1.000018686506654,1.4593367779521136
3,1.7283266983463506,159.30113610282444,1.0000195455454413,1.4925084601437422
3,1.766733958309603,159.3012760211322,1.0000204238884711,1.5256804753151731
3,1.805141218272855,159.30141901456759,1.0000213215357432,1.5588528308806635
